Price (USD),Address,City,Date,Beds,Baths,Area (SQFT)
875000.0,"6905 Yolanda Ave, Reseda, CA 91335",Los-Angeles,2023-12-15,2.0,2.0,1343.0
750000.0,"4821 Bakman Ave #304, North Hollywood, CA 91601",Los-Angeles,2023-12-15,3.0,2.5,1454.0
1699000.0,"3126 Verdugo Pl, Los Angeles, CA 90065",Los-Angeles,2023-12-15,4.0,2.0,2085.0
460000.0,"15050 Victory Blvd #103, Van Nuys, CA 91411",Los-Angeles,2023-12-15,2.0,2.0,1193.0
857000.0,"2043 W 65th Pl, Los Angeles, CA 90047",Los-Angeles,2023-12-15,3.0,2.0,1635.0
880000.0,"8050 Cherrystone Ave, Panorama City, CA 91402",Los-Angeles,2023-12-15,4.0,2.0,1885.0
1850000.0,"13600 Marina Pointe Dr #705, Marina Del Rey, CA 90292",Los-Angeles,2023-12-15,2.0,2.5,1900.0
719950.0,"13033 Kamloops St, Pacoima, CA 91331",Los-Angeles,2023-12-15,3.0,2.0,1112.0
1330000.0,"11815 W Holly Way, Valley Village, CA 91607",Los-Angeles,2023-12-15,3.0,3.5,2211.0
674900.0,"10408 Hickory St, Los Angeles, CA 90002",Los-Angeles,2023-12-15,4.0,2.0,1400.0
1330000.0,"11809 W Holly Way, Valley Village, CA 91607",Los-Angeles,2023-12-15,3.0,3.5,2211.0
2300000.0,"5345 Norwich Ave, Sherman Oaks, CA 91411",Los-Angeles,2023-12-15,4.0,3.5,3000.0
850000.0,"12871 Osborne St, Pacoima, CA 91331",Los-Angeles,2023-12-15,4.0,2.0,1500.0
1085000.0,"14770 SAN FERNANDO MISSION Blvd, Mission Hills (san Fernando), CA 91345",Los-Angeles,2023-12-15,3.0,2.0,1030.0
1355000.0,"11821 W Holly Way, Valley Village, CA 91607",Los-Angeles,2023-12-15,3.0,3.5,2243.0
1358000.0,"11803 W Holly Way, Valley Village, CA 91607",Los-Angeles,2023-12-15,3.0,3.5,2243.0
999999.0,"3815 W 60th St, Los Angeles, CA 90043",Los-Angeles,2023-12-15,4.0,2.0,1982.0
2199000.0,"8009 Belton Dr, Los Angeles, CA 90045",Los-Angeles,2023-12-15,4.0,4.0,2159.0
1850000.0,"12420 Caswell Ave, Los Angeles, CA 90066",Los-Angeles,2023-12-15,4.0,2.5,2303.0
150000.0,"8250 Lankershim Blvd, North Hollywood, CA 91605",Los-Angeles,2023-12-15,2.0,2.0,750.0
655000.0,"145 W 115th St, Los Angeles, CA 90061",Los-Angeles,2023-12-15,6.0,3.0,1762.0
775000.0,"1632 W 60th Pl, Los Angeles, CA 90047",Los-Angeles,2023-12-15,3.0,2.0,1324.0
849000.0,"903 S New Hampshire Ave #504, Los Angeles, CA 90006",Los-Angeles,2023-12-15,3.0,2.0,1320.0
649000.0,"10141 Samoa Ave #2, Tujunga, CA 91042",Los-Angeles,2023-12-15,2.0,3.0,1409.0
3000000.0,"198 S Commonwealth Ave, Los Angeles, CA 90004",Los-Angeles,2023-12-15,12.0,8.0,8486.0
1999000.0,"2405 Meadowvale Ave, Los Angeles, CA 90031",Los-Angeles,2023-12-15,8.0,4.0,3134.0
650000.0,"817 W 101st St, Los Angeles, CA 90044",Los-Angeles,2023-12-15,4.0,2.0,1786.0
900000.0,"9424 S Central Ave, Los Angeles, CA 90002",Los-Angeles,2023-12-15,9.0,3.0,2288.0
550000.0,"4750 Templeton St #1212, Los Angeles, CA 90032",Los-Angeles,2023-12-15,2.0,3.0,1555.0
1050000.0,"5027 Chester St, Los Angeles, CA 90032",Los-Angeles,2023-12-15,4.0,3.0,1338.0
850000.0,"4251 Hooper Ave, Los Angeles, CA 90011",Los-Angeles,2023-12-15,5.0,2.0,1967.0
1249000.0,"1334 Pennsylvania Ave, Los Angeles, CA 90033",Los-Angeles,2023-12-15,5.0,4.0,2576.0
1600000.0,"44 Rose Ave, Venice, CA 90291",Los-Angeles,2023-12-15,5.0,5.0,2366.0
699995.0,"1201 W Florence Ave, Los Angeles, CA 90044",Los-Angeles,2023-12-15,4.0,2.0,1760.0
599900.0,"8917 Bandera St, Los Angeles, CA 90002",Los-Angeles,2023-12-15,3.0,2.0,880.0
700000.0,"1340 E 23rd St, Los Angeles, CA 90011",Los-Angeles,2023-12-15,7.0,2.5,1920.0
825000.0,"2120 Lohengrin St, Los Angeles, CA 90047",Los-Angeles,2023-12-15,3.0,1.5,1448.0
1495000.0,"3151 Oakcrest Dr, Los Angeles, CA 90068",Los-Angeles,2023-12-15,3.0,3.0,2240.0
699000.0,"1256 W 64th St, Los Angeles, CA 90044",Los-Angeles,2023-12-15,3.0,2.0,1156.0
995000.0,"4314 Marina City Dr #720, Marina Del Rey, CA 90292",Los-Angeles,2023-12-15,2.0,2.0,1422.0
849000.0,"12211 Idaho Ave #306, Los Angeles, CA 90025",Los-Angeles,2023-12-15,2.0,2.0,1030.0
789000.0,"4316 Marina City Dr Unit 633 CTN, Marina Del Rey, CA 90292",Los-Angeles,2023-12-15,3.0,2.0,1722.0
